Name,Level,School,,Casting Time,Components,Concentration,Source,,,
Tenser's Floating Disk,1st,Conjuration,yes,1 action,VSM,,phb 282,,,
Thunderwave,1st,Evocation,,1 action,VS,,phb 282,,,
Unseen Servant,1st,Conjuration,yes,1 action,VSM,,phb 284,,,
Witch Bolt,1st,Evocation,,1 action,VSM,yes,phb 289,,,
Aganazzar's Scorcher,2nd,Evocation,,1 action,VSM,,"ee 15, xge 150",,,
Alter Self,2nd,Transmutation,,1 action,VS,yes,phb 211,,,
Arcane Lock,2nd,Abjuration,,1 action,VSMgp,,phb 215,,,
Blindness/Deafness,2nd,Necromancy,,1 action,V,,phb 219,,,
Blur,2nd,Illusion,,1 action,V,yes,phb 219,,,
Cloud of Daggers,2nd,Conjuration,,1 action,VSM,yes,phb 222,,,
Continual Flame,2nd,Evocation,,1 action,VSMgp,,phb 227,,,
Crown of Madness,2nd,Enchantment,,1 action,VS,yes,phb 229,,,
Darkness,2nd,Evocation,,1 action,VM,yes,phb 230,,,
Darkvision,2nd,Transmutation,,1 action,VSM,,phb 230,,,
Detect Thoughts,2nd,Divination,,1 action,VSM,yes,phb 231,,,
Dragon's Breath,2nd,Transmutation,,1 bonus action,VSM,yes,xge 154,,,
Dust Devil,2nd,Conjuration,,1 action,VSM,yes,"ee 17, xge 154",,,
Earthbind,2nd,Transmutation,,1 action,V,yes,"ee 17, xge 154",,,
Enlarge/Reduce,2nd,Transmutation,,1 action,VSM,yes,phb 237,,,
Flaming Sphere,2nd,Conjuration,,1 action,VSM,yes,phb 242,,,
Gentle Repose,2nd,Necromancy,yes,1 action,VSM,,phb 245,,,
Gust of Wind,2nd,Evocation,,1 action,VSM,yes,phb 248,,,
Hold Person,2nd,Enchantment,,1 action,VSM,yes,phb 251,,,
Invisibility,2nd,Illusion,,1 action,VSM,yes,phb 254,,,
Knock,2nd,Transmutation,,1 action,V,,phb 254,,,
Levitate,2nd,Transmutation,,1 action,VSM,yes,phb 255,,,
Locate Object,2nd,Divination,,1 action,VSM,yes,phb 256,,,
Magic Mouth,2nd,Illusion,yes,1 minute,VSMgp,,phb 257,,,
Magic Weapon,2nd,Transmutation,,1 bonus action,VS,yes,phb 257,,,
Maximilian's Earthen Grasp,2nd,Transmutation,,1 action,VSM,yes,"ee 20, xge 161",,,
Melf's Acid Arrow,2nd,Evocation,,1 action,VSM,,phb 259,,,
Mind Spike,2nd,Divination,,1 action,S,yes,xge 162,,,
Mirror Image,2nd,Illusion,,1 action,VS,,phb 260,,,
Misty Step,2nd,Conjuration,,1 bonus action,V,,phb 260,,,
Nystul's Magic Aura,2nd,Illusion,,1 action,VSM,,phb 263,,,
Phantasmal Force,2nd,Illusion,,1 action,VSM,yes,phb 264,,,
Pyrotechnics,2nd,Transmutation,,1 action,VS,,"ee 21, xge 163",,,
Ray of Enfeeblement,2nd,Necromancy,,1 action,VS,yes,phb 271,,,
Rope Trick,2nd,Transmutation,,1 action,VSM,,phb 272,,,
Scorching Ray,2nd,Evocation,,1 action,VS,,phb 273,,,
See Invisibility,2nd,Divination,,1 action,VSM,,phb 274,,,
Shadow Blade,2nd,Illusion,,1 bonus action,VS,yes,xge 164,,,
Shatter,2nd,Evocation,,1 action,VSM,,phb 275,,,
Skywrite,2nd,Transmutation,yes,1 action,VS,yes,"ee 22, xge 165",,,
Snilloc's Snowball Swarm,2nd,Evocation,,1 action,VSM,,"ee 22, xge 165",,,
Spider Climb,2nd,Transmutation,,1 action,VSM,yes,phb 277,,,
Suggestion,2nd,Enchantment,,1 action,VM,yes,phb 279,,,
Warding Wind,2nd,Evocation,,1 action,V,yes,"ee 23, xge 170",,,
Web,2nd,Conjuration,,1 action,VSM,yes,phb 287,,,
Animate Dead,3rd,Necromancy,,1 minute,VSM,,phb 212,,,
Bestow Curse,3rd,Necromancy,,1 action,VS,yes,phb 218,,,
Blink,3rd,Transmutation,,1 action,VS,,phb 219,,,
Catnap,3rd,Enchantment,,1 action,SM,,xge 151,,,
Clairvoyance,3rd,Divination,,10 minutes,VSMgp,yes,phb 222,,,
Counterspell,3rd,Abjuration,,1 reaction,S,,phb 228,,,
Dispel Magic,3rd,Abjuration,,1 action,VS,,phb 234,,,
Enemies Abound,3rd,Enchantment,,1 action,VS,yes,xge 155,,,
Erupting Earth,3rd,Transmutation,,1 action,VSM,,"ee 17, xge 155",,,
Fear,3rd,Illusion,,1 action,VSM,yes,phb 239,,,
Feign Death,3rd,Necromancy,yes,1 action,VSM,,phb 240,,,
Fireball,3rd,Evocation,,1 action,VSM,,phb 241,,,
Flame Arrows,3rd,Transmutation,,1 action,VS,yes,"ee 18, xge 156",,,
Fly,3rd,Transmutation,,1 action,VSM,yes,phb 243,,,
Gaseous Form,3rd,Transmutation,,1 action,VSM,yes,phb 244,,,
Glyph of Warding,3rd,Abjuration,,1 hour,VSMgp,,phb 245,,,
Haste,3rd,Transmutation,,1 action,VSM,yes,phb 250,,,
Hypnotic Pattern,3rd,Illusion,,1 action,SM,yes,phb 252,,,
Leomund's Tiny Hut,3rd,Evocation,yes,1 minute,VSM,,phb 255,,,
Life Transference,3rd,Necromancy,,1 action,VS,,xge 160,,,
Lightning Bolt,3rd,Evocation,,1 action,VSM,,phb 255,,,
Magic Circle,3rd,Abjuration,,1 minute,VSMgp,,phb 256,,,
Major Image,3rd,Illusion,,1 action,VSM,yes,phb 258,,,
Melf's Minute Meteors,3rd,Evocation,,1 action,VSM,yes,"ee 20, xge 161",,,
Nondetection,3rd,Abjuration,,1 action,VSMgp,,phb 263,,,
Phantom Steed,3rd,Illusion,yes,1 minute,VS,,phb 265,,,
Protection from Energy,3rd,Abjuration,,1 action,VS,yes,phb 270,,,
Remove Curse,3rd,Abjuration,,1 action,VS,,phb 271,,,
Sending,3rd,Evocation,,1 action,VSM,,phb 274,,,
Sleet Storm,3rd,Conjuration,,1 action,VSM,yes,phb 276,,,
Slow,3rd,Transmutation,,1 action,VSM,yes,phb 277,,,
Stinking Cloud,3rd,Conjuration,,1 action,VSM,yes,phb 278,,,
Summon Lesser Demons,3rd,Conjuration,,1 action,VSM,yes,xge 167,,,
Thunder Step,3rd,Conjuration,,1 action,V,,xge 168,,,
Tidal Wave,3rd,Conjuration,,1 action,VSM,,"ee 22, xge 168",,,
Tiny Servant,3rd,Transmutation,,1 minute,VS,,xge 168,,,
Tongues,3rd,Divination,,1 action,VM,,phb 283,,,
Vampiric Touch,3rd,Necromancy,,1 action,VS,yes,phb 285,,,
Wall of Sand,3rd,Evocation,,1 action,VSM,yes,"ee 23, xge 170",,,
Wall of Water,3rd,Evocation,,1 action,VSM,yes,"ee 23, xge 170",,,
Water Breathing,3rd,Transmutation,yes,1 action,VSM,,phb 287,,,
Arcane Eye,4th,Divination,,1 action,VSM,yes,phb 214,,,
Banishment,4th,Abjuration,,1 action,VSM,yes,phb 217,,,
Blight,4th,Necromancy,,1 action,VS,,phb 219,,,
Charm Monster,4th,Enchantment,,1 action,VS,,xge 151,,,
Confusion,4th,Enchantment,,1 action,VSM,yes,phb 224,,,
Conjure Minor Elementals,4th,Conjuration,,1 minute,VS,yes,phb 226,,,
Control Water,4th,Transmutation,,1 action,VSM,yes,phb 227,,,
Dimension Door,4th,Conjuration,,1 action,V,,phb 233,,,
Elemental Bane,4th,Transmutation,,1 action,VS,yes,"ee 17, xge 155",,,
Evard's Black Tentacles,4th,Conjuration,,1 action,VSM,yes,phb 238,,,
Fabricate,4th,Transmutation,,10 minutes,VS,,phb 239,,,
Fire Shield,4th,Evocation,,1 action,VSM,,phb 242,,,
Greater Invisibility,4th,Illusion,,1 action,VS,yes,phb 246,,,
Hallucinatory Terrain,4th,Illusion,,10 minutes,VSM,,phb 249,,,
Ice Storm,4th,Evocation,,1 action,VSM,,phb 252,,,
Leomund's Secret Chest,4th,Conjuration,,1 action,VSMgp,,phb 254,,,
Locate Creature,4th,Divination,,1 action,VSM,yes,phb 256,,,
Mordenkainen's Faithful Hound,4th,Conjuration,,1 action,VSM,,phb 261,,,
Mordenkainen's Private Sanctum,4th,Abjuration,,10 minutes,VSM,,phb 262,,,
Otiluke's Resilient Sphere,4th,Evocation,,1 action,VSM,yes,phb 264,,,
Phantasmal Killer,4th,Illusion,,1 action,VS,yes,phb 265,,,
Polymorph,4th,Transmutation,,1 action,VSM,yes,phb 266,,,
Sickening Radiance,4th,Evocation,,1 action,VS,yes,xge 164,,,
Stone Shape,4th,Transmutation,,1 action,VSM,,phb 278,,,
Stoneskin,4th,Abjuration,,1 action,VSMgp,yes,phb 278,,,
Storm Sphere,4th,Evocation,,1 action,VS,yes,"ee 22, xge 166",,,
Summon Greater Demon,4th,Conjuration,,1 action,VSM,yes,xge 166,,,
Vitriolic Sphere,4th,Evocation,,1 action,VSM,,"ee 23, xge 170",,,
Wall of Fire,4th,Evocation,,1 action,VSM,yes,phb 285,,,
Watery Sphere,4th,Conjuration,,1 action,VSM,yes,"ee 23, xge 170",,,
Animate Objects,5th,Transmutation,,1 action,VS,yes,phb 213,,,
Bigby's Hand,5th,Evocation,,1 action,VSM,yes,phb 218,,,
Cloudkill,5th,Conjuration,,1 action,VS,yes,phb 222,,,
Cone of Cold,5th,Evocation,,1 action,VSM,,phb 224,,,
Conjure Elemental,5th,Conjuration,,1 minute,VSM,yes,phb 225,,,
Contact Other Plane,5th,Divination,yes,1 minute,V,,phb 226,,,
Control Winds,5th,Transmutation,,1 action,VS,yes,ee 16,,,
Creation,5th,Illusion,,1 minute,VSM,,phb 229,,,
Danse Macabre,5th,Necromancy,,1 action,VS,yes,xge 153,,,
Dawn,5th,Evocation,,1 action,VSMgp,yes,xge 153,,,
Dominate Person,5th,Enchantment,,1 action,VS,yes,phb 235,,,
Dream,5th,Illusion,,1 minute,VSM,,phb 236,,,
Enervation,5th,Necromancy,,1 action,VS,yes,xge 155,,,
Far Step,5th,Conjuration,,1 bonus action,V,yes,xge 155,,,
Geas,5th,Enchantment,,1 minute,V,,phb 244,,,
Hold Monster,5th,Enchantment,,1 action,VSM,yes,phb 251,,,
Immolation,5th,Evocation,,1 action,V,yes,"ee 19, xge 158",,,
Infernal Calling,5th,Conjuration,,1 minute,VSMgp,yes,xge 158,,,
Legend Lore,5th,Divination,,10 minutes,VSMgp,,phb 254,,,
Mislead,5th,Illusion,,1 action,S,yes,phb 260,,,
Modify Memory,5th,Enchantment,,1 action,VS,yes,phb 261,,,
Negative Energy Flood,5th,Necromancy,,1 action,VM,,xge 163,,,
Passwall,5th,Transmutation,,1 action,VSM,,phb 264,,,
Planar Binding,5th,Abjuration,,1 hour,VSMgp,,phb 265,,,
Rary's Telepathic Bond,5th,Divination,yes,1 action,VSM,,phb 270,,,
Scrying,5th,Divination,,10 minutes,VSMgp,yes,phb 273,,,
Seeming,5th,Illusion,,1 action,VS,,phb 274,,,
Skill Empowerment,5th,Transmutation,,1 action,VS,yes,xge 165,,,
Steel Wind Strike,5th,Conjuration,,1 action,SMgp,,xge 166,,,
Synaptic Static,5th,Enchantment,,1 action,VS,,xge 167,,,
Telekinesis,5th,Transmutation,,1 action,VS,yes,phb 280,,,
Teleportation Circle,5th,Conjuration,,1 minute,VMgp,,phb 282,,,
Transmute Rock,5th,Transmutation,,1 action,VSM,,"ee 22, xge 169",,,
Wall of Force,5th,Evocation,,1 action,VSM,yes,phb 285,,,
Wall of Light,5th,Evocation,,1 action,VSM,yes,xge 170,,,
Wall of Stone,5th,Evocation,,1 action,VSM,yes,phb 287,,,
Arcane Gate,6th,Conjuration,,1 action,VS,yes,phb 214,,,
Chain Lightning,6th,Evocation,,1 action,VSM,,phb 221,,,
Circle of Death,6th,Necromancy,,1 action,VSMgp,,phb 221,,,
Contingency,6th,Evocation,,10 minutes,VSMgp,,phb 227,,,
Create Homunculus,6th,Transmutation,,1 hour,VSMgp,,xge 152,,,
Create Undead,6th,Necromancy,,1 minute,VSMgp,,phb 229,,,
Disintegrate,6th,Transmutation,,1 action,VSM,,phb 233,,,
Drawmij's Instant Summons,6th,Conjuration,yes,1 minute,VSMgp,,phb 235,,,
Eyebite,6th,Necromancy,,1 action,VS,yes,phb 238,,,
Flesh to Stone,6th,Transmutation,,1 action,VSM,yes,phb 243,,,
Globe of Invulnerability,6th,Abjuration,,1 action,VSM,yes,phb 245,,,
Guards and Wards,6th,Abjuration,,10 minutes,VSMgp,,phb 248,,,
Investiture of Flame,6th,Transmutation,,1 action,VS,yes,"ee 19, xge 159",,,
Investiture of Ice,6th,Transmutation,,1 action,VS,yes,"ee 19, xge 159",,,
Investiture of Stone,6th,Transmutation,,1 action,VS,yes,"ee 19, xge 159",,,
Investiture of Wind,6th,Transmutation,,1 action,VS,yes,"ee 20, xge 160",,,
Magic Jar,6th,Necromancy,,1 minute,VSMgp,,phb 257,,,
Mass Suggestion,6th,Enchantment,,1 action,VM,,phb 258,,,
Mental Prison,6th,Illusion,,1 action,S,yes,xge 161,,,
Move Earth,6th,Transmutation,,1 action,VSM,yes,phb 263,,,
Otiluke's Freezing Sphere,6th,Evocation,,1 action,VSM,,phb 263,,,
Otto's Irresistible Dance,6th,Enchantment,,1 action,V,yes,phb 264,,,
Programmed Illusion,6th,Illusion,,1 action,VSMgp,,phb 269,,,
Scatter,6th,Abjuration,,1 action,V,,xge 164,,,
Soul Cage,6th,Necromancy,,1 reaction,VSMgp,,xge 165,,,
Sunbeam,6th,Evocation,,1 action,VSM,yes,phb 279,,,
Tenser's Transformation,6th,Transmutation,,1 action,VSM,yes,xge 168,,,
True Seeing,6th,Divination,,1 action,VSMgp,,phb 284,,,
Wall of Ice,6th,Evocation,,1 action,VSM,yes,phb 285,,,
Crown of Stars,7th,Evocation,,1 action,VS,,xge 152,,,
Delayed Blast Fireball,7th,Evocation,,1 action,VSM,yes,phb 230,,,
Etherealness,7th,Transmutation,,1 action,VS,,phb 238,,,
Finger of Death,7th,Necromancy,,1 action,VS,,phb 241,,,
Forcecage,7th,Evocation,,1 action,VSMgp,,phb 243,,,
Mirage Arcane,7th,Illusion,,10 minutes,VS,,phb 260,,,
Mordenkainen's Magnificent Mansion,7th,Conjuration,,1 minute,VSMgp,,phb 261,,,
Mordenkainen's Sword,7th,Evocation,,1 action,VSMgp,yes,phb 262,,,
Plane Shift,7th,Conjuration,,1 action,VSMgp,,phb 266,,,
Power Word Pain,7th,Enchantment,,1 action,V,,xge 163,,,
Prismatic Spray,7th,Evocation,,1 action,VS,,phb 267,,,
Project Image,7th,Illusion,,1 action,VSMgp,yes,phb 270,,,
Reverse Gravity,7th,Transmutation,,1 action,VSM,yes,phb 272,,,
Sequester,7th,Transmutation,,1 action,VSMgp,,phb 274,,,
Simulacrum,7th,Illusion,,12 hours,VSMgp,,phb 276,,,
Symbol,7th,Abjuration,,1 minute,VSMgp,,phb 280,,,
Teleport,7th,Conjuration,,1 action,V,,phb 281,,,
Whirlwind,7th,Evocation,,1 action,VM,yes,"ee 24, xge 171",,,
Abi-Dalzim's Horrid Wilting,8th,Necromancy,,1 action,VSM,,"ee 15, xge 150",,,
Antimagic Field,8th,Abjuration,,1 action,VSM,yes,phb 213,,,
Antipathy/Sympathy,8th,Enchantment,,1 hour,VSM,,phb 214,,,
Clone,8th,Necromancy,,1 hour,VSMgp,,phb 222,,,
Control Weather,8th,Transmutation,,10 minutes,VSM,yes,phb 228,,,
Demiplane,8th,Conjuration,,1 action,S,,phb 231,,,
Dominate Monster,8th,Enchantment,,1 action,VS,yes,phb 235,,,
Feeblemind,8th,Enchantment,,1 action,VSM,,phb 239,,,
Illusory Dragon,8th,Illusion,,1 action,S,yes,xge 157,,,
Incendiary Cloud,8th,Conjuration,,1 action,VS,yes,phb 253,,,
Maddening Darkness,8th,Evocation,,1 action,VM,yes,xge 160,,,
Maze,8th,Conjuration,,1 action,VS,yes,phb 258,,,
Mighty Fortress,8th,Conjuration,,1 minute,VSMgp,,xge 161,,,
Mind Blank,8th,Abjuration,,1 action,VS,,phb 259,,,
Power Word Stun,8th,Enchantment,,1 action,V,,phb 267,,,
Sunburst,8th,Evocation,,1 action,VSM,,phb 279,,,
Telepathy,8th,Evocation,,1 action,VSM,,phb 281,,,
Astral Projection,9th,Necromancy,,1 hour,VSMgp,,phb 215,,,
Foresight,9th,Divination,,1 minute,VSM,,phb 244,,,
Gate,9th,Conjuration,,1 action,VSMgp,yes,phb 244,,,
Imprisonment,9th,Abjuration,,1 minute,VSMgp,,phb 252,,,
Invulnerability,9th,Abjuration,,1 action,VSMgp,yes,xge 160,,,
Mass Polymorph,9th,Transmutation,,1 action,VSM,yes,xge 160,,,
Meteor Swarm,9th,Evocation,,1 action,VS,,phb 259,,,
Power Word Kill,9th,Enchantment,,1 action,V,,phb 266,,,
Prismatic Wall,9th,Abjuration,,1 action,VS,,phb 267,,,
Psychic Scream,9th,Enchantment,,1 action,S,,xge 163,,,
Shapechange,9th,Transmutation,,1 action,VSMgp,yes,phb 274,,,
Time Stop,9th,Transmutation,,1 action,V,,phb 283,,,
True Polymorph,9th,Transmutation,,1 action,VSM,yes,phb 283,,,
Weird,9th,Illusion,,1 action,VS,yes,phb 288,,,
Wish,9th,Conjuration,,1 action,V,,phb 288,,,
